KPI_Goal_Id,KPI_Goal_Description,KPI_Metric_Id,KPI_Metric,KPI_Metric_Description,Planned_Value,Real_Value,Weight
11,Rigorously enforce building and zoning laws.,11,Office of Administrative Trials and Hearings violations issued,The total number of violations issued by DOB that fall under the jurisdiction of the Environmental Control Board.  Initially reported data for the Preliminary Mayor’s Management Report (PMMR) and annual Mayor’s Management Report (MMR) is typically incomplete due to data entry backlog and routinely updated in subsequent releases of the MMR.,29079.715114362054,24115.058823529413,1.0
12,Increase public access to government information.,12,311 calls (000),"The number of calls received by the Customer Service Center by dialing 3-1-1 directly by dialing 212-NEWYORK, the number available to callers outside the five boroughs of the City or by dialing agency call centers or hotlines that were consolidated into 311 operations.",1967.8589232102775,1638.9140384615384,1.0
13,Improve the efficiency of public access to government services,13,Calls answered in 30 seconds (%),The percentage of calls answered by a call center representative in 30 seconds or less. Time begins after initial prerecorded messages.,100.0,81.35682692307692,1.0
14,Comply with all federal and State drinking water quality standards and monitor and respond to customer-reported aesthetic issues.,14,In-City samples meeting water quality standards for coliform bacteria (%),The percent of time the City drinking water meets the State quality standard for coliform bacteria. This is a standard measure of microbiological purity for drinking water.,100.0,100.0,1.0
15,"Ensure that customer billing is accurate, transparent and fair.",15,Average daily in-City water consumption (millions of gallons),The mean number of gallons delivered each day for in-City consumption.,1197.335795266915,993.1538461538462,1.0
16,Maintain high levels of compliance with federal and State treatment standards for wastewater and sewage entering receiving waters.,16,Water resource recovery facility effluent meeting State Pollutant Discharge Elimination Standards (%),The percent of treated wastewater leaving in-City treatment plants that meet State Pollutant Discharge Elimination Standards for suspended solids and biochemical oxygen demand.,100.0,99.76442307692308,1.0
17,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,17,Water main breaks,The number of water main breaks responded to by DEP.,42.48310504248505,36.0,1.0
18,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,18,Broken and inoperative hydrants (%),"The percent of all hydrants in the City which are broken and inoperative. There are approximately 110,180 fire hydrants in the City.",100.0,0.39355769230769233,1.0
19,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,19,Sewer backup resolution time (hours),The average amount of time that DEP takes to resolve a sewer backup from the time the complaint is received. Resolution of a complaint can occur by clearing of a blockage or an inspection that reveals no backup or that the problem is on private infrastructure.,4.117191665826059,3.553076923076923,1.0
20,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,20,Clogged catch basin resolution time (days),The average number of calendar days between receipt and resolution for complaints of clogged catch basins.  One complaint can involve multiple catch basins.,5.931869325793842,5.055480769230769,1.0
21,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,21,Street cave-in complaints received,The total number of complaints received by the Department concerning street cave-ins or street depressions. A cave-in is described as the collapse of roadway surface in which the pavement has cracked and fallen into a deep empty space without a solid bottom beneath the street surface.,358.8795039651631,301.5576923076923,1.0
22,"Ensure that customer billing is accurate, transparent and fair.",22,Estimated bills (%),The proportion of water and sewer bills mailed that are not based on actual meter readings.,100.0,3.4226923076923077,1.0
23,Meet revenue targets established by the NYC Water Board.,23,"Total revenue collected ($000,000)",Total amount of money collected by DEP for water and sewer charges.,3747.665384615385,321.1721153846154,1.0
24,Investigate complaints in a timely manner.,24,Asbestos complaints responded to within three hours (%),The percent of complaints concerning asbestos responded to within three hours of receipt.,100.0,99.98076923076923,1.0
25,Investigate complaints in a timely manner.,25,Air quality complaints responded to within seven days (%),The percent of complaints concerning air quality responded to within seven days of receipt.,100.0,97.96153846153847,1.0
26,Investigate complaints in a timely manner.,26,Noise complaints not requiring access to premises responded to within seven days (%),"The percent of complaints concerning noise, not requiring scheduling with the complainant, responded to within seven days.",100.0,98.52884615384616,1.0
27,Investigate complaints in a timely manner.,27,Average days to close noise complaints,"The average number of calendar days between receipt of a noise complaint and closure of the complaint for complaints closed during the reporting period.  A complaint is closed when no further action will be taken on it by DEP.   This includes instances where, upon investigation, no infractions of applicable rules/regulations were found, or infractions were present and a Notice of Violation was issued.",5.039131097193883,4.279903846153847,1.0
28,Investigate complaints in a timely manner.,28,Noise complaints received,The total number of noise complaints received during the reporting period.,5386.204587390577,4522.759615384615,1.0
29,Investigate complaints in a timely manner.,29,Air quality complaints received,The total number of air quality complaints received during the reporting period.,943.8159179222899,787.6826923076923,1.0
30,Investigate complaints in a timely manner.,30,Asbestos complaints received,The total number of asbestos complaints received during the reporting period.,129.16816900149018,110.02884615384616,1.0
31,Comply with all federal and State drinking water quality standards and monitor and respond to customer-reported aesthetic issues.,31,Samples testing positive for coliform bacteria (%),The percent of samples of City drinking water testing positive for coliform bacteria during the period.  This is a standard evaluation of the microbiological purity of drinking water.,100.0,0.41442307692307695,1.0
32,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,32,Average time to restore water to customers after confirming breaks (hours),The average number of hours that it takes DEP to restore water service to affected customers from the time the water to the main with the break is shut off until water is restored.,5.7597967959069445,4.847788461538462,1.0
33,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,33,Leak complaints received,The total number of leak complaints received during the reporting period; includes complaints on both City and private infrastructure.,357.7376743925793,299.4423076923077,1.0
34,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,34,Average time to repair or replace high-priority broken or inoperative hydrants (days),The average number of calendar days it takes DEP to fix a high-priority broken or inoperative hydrant. High-priority repairs and replacements are designated by the NYC Fire Department.,2.937733342060919,2.4558653846153846,1.0
35,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,35,Catch basin complaints received,The total number of clogged catch basin complaints received during the reporting period.,883.0008181946621,738.75,1.0
36,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,36,Sewer backup complaints received,The total number of sewer backup complaints received during the reporting period.,1183.3120391291843,1009.9134615384615,1.0
37,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.,37,Average time to respond to street cave-in complaints and make safe (days),The average number of days it took DEP to respond to street cave-ins/depression complaints and resolve related danger during the period.,1.8341054268119583,1.5689423076923075,1.0
38,Meet revenue targets established by the NYC Water Board.,38,Billed amount collected in 30 days (%),The percent of billed amount that is collected by DEP with 30 days of distribution.,100.0,62.14807692307692,1.0
39,Meet revenue targets established by the NYC Water Board.,39,Total revenue as percent of target (%),Total monies actually collected by DEP for water and sewer charges as a percentage of planned collections for the period.,100.0,103.97125,1.0
40,Investigate complaints in a timely manner.,40,Average days to close air quality complaints,"The average number of calendar days between receipt of an air quality complaint and closure of the complaint for complaints closed during the reporting period.  A complaint is closed when no further action will be taken on it by DEP.   This includes instances where, upon investigation, no infractions of applicable rules/regulations were found, or infractions were present and a Notice of Violation was issued.",3.967299440026671,3.3365384615384617,1.0
41,Investigate complaints in a timely manner.,41,Average days to close asbestos complaints,"The average number of days between receipt of an asbestos complaint and closure of the complaint for complaints closed during the reporting period. A complaint is closed when the asbestos issue described in the complaint has either been resolved or determined to be unfounded based on the Department’s inspection; when the complaint location is an abandoned building and access is not possible; or when more information is required and contact information for the complainant is not available.  If the Department issues a Notice of Violation for infractions of applicable rules/regulations and corrective action is required, then a follow-up inspection is done to ensure compliance.",0.7508876753936534,0.635,1.0
42,Stay ahead and be prepared for winter storms and impacts.,42,Snowfall (total inches),"Total amount of snow, in inches, that has fallen during the reporting period.",2.4744107441306613,2.0585106382978724,1.0
43,Stay ahead and be prepared for winter storms and impacts.,43,Salt used (tons),"Amount of salt used, in tons, due to snowfall and icy conditions.",32033.45419779806,27183.63829787234,1.0
44,Increase street and sidewalk cleanliness.,44,(Retired) Streets rated acceptably clean (%) - Manhattan 01,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,96.88494285714286,0.03060064292798077
44,Increase street and sidewalk cleanliness.,45,(Retired) Streets rated acceptably clean (%) - Manhattan 02,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,96.35986235294118,0.008173399656594839
44,Increase street and sidewalk cleanliness.,46,(Retired) Streets rated acceptably clean (%) - Manhattan 03,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,90.245875,0.011610161708058007
44,Increase street and sidewalk cleanliness.,47,(Retired) Streets rated acceptably clean (%) - Manhattan 04,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,96.02427228915663,0.024699794676563188
44,Increase street and sidewalk cleanliness.,48,(Retired) Streets rated acceptably clean (%) - Manhattan 05,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,96.79457228915662,0.02848964361615942
44,Increase street and sidewalk cleanliness.,49,(Retired) Streets rated acceptably clean (%) - Manhattan 06,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,95.75951,0.030586263798728402
44,Increase street and sidewalk cleanliness.,50,(Retired) Streets rated acceptably clean (%) - Manhattan 07,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,97.3587756097561,0.0053072602353630635
44,Increase street and sidewalk cleanliness.,51,(Retired) Streets rated acceptably clean (%) - Manhattan 08,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,97.89959999999999,0.005506837869885573
44,Increase street and sidewalk cleanliness.,52,(Retired) Streets rated acceptably clean (%) - Manhattan 09,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,93.81603580246913,0.016281443280808213
44,Increase street and sidewalk cleanliness.,53,(Retired) Streets rated acceptably clean (%) - Manhattan 10,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,86.9907976744186,0.018102840630923323
44,Increase street and sidewalk cleanliness.,54,(Retired) Streets rated acceptably clean (%) - Manhattan 11,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,90.17067108433734,0.014179094347244542
44,Increase street and sidewalk cleanliness.,55,(Retired) Streets rated acceptably clean (%) - Manhattan 12,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,87.93301445783132,0.024435565646338888
44,Increase street and sidewalk cleanliness.,56,(Retired) Streets rated acceptably clean (%) - Bronx 01,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,87.03529999999999,0.02199974980643215
44,Increase street and sidewalk cleanliness.,57,(Retired) Streets rated acceptably clean (%) - Bronx 02,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,85.91889047619048,0.0026058680448666073
44,Increase street and sidewalk cleanliness.,58,(Retired) Streets rated acceptably clean (%) - Bronx 03,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,85.84896282051282,0.014414110548672848
44,Increase street and sidewalk cleanliness.,59,(Retired) Streets rated acceptably clean (%) - Bronx 04,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,87.2866469879518,0.006132317204287835
44,Increase street and sidewalk cleanliness.,60,(Retired) Streets rated acceptably clean (%) - Bronx 05,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,86.14306746987953,0.019433451272301058
44,Increase street and sidewalk cleanliness.,61,(Retired) Streets rated acceptably clean (%) - Bronx 06,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,90.18031463414634,0.02039062420139756
44,Increase street and sidewalk cleanliness.,62,(Retired) Streets rated acceptably clean (%) - Bronx 07,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,89.24290853658536,0.030479312978472336
44,Increase street and sidewalk cleanliness.,63,(Retired) Streets rated acceptably clean (%) - Bronx 08,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,96.4958888888889,0.025212572518576365
44,Increase street and sidewalk cleanliness.,64,(Retired) Streets rated acceptably clean (%) - Bronx 09,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,93.5949512195122,0.010520421478083969
44,Increase street and sidewalk cleanliness.,65,(Retired) Streets rated acceptably clean (%) - Bronx 10,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,97.21199156626506,0.014784085347907554
44,Increase street and sidewalk cleanliness.,66,(Retired) Streets rated acceptably clean (%) - Bronx 11,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,94.81615308641976,0.021706704522441053
44,Increase street and sidewalk cleanliness.,67,(Retired) Streets rated acceptably clean (%) - Bronx 12,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,90.74457375,0.01588822808077404
44,Increase street and sidewalk cleanliness.,68,(Retired) Streets rated acceptably clean (%) - Brooklyn 01,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,87.72599523809524,0.01598082843000219
44,Increase street and sidewalk cleanliness.,69,(Retired) Streets rated acceptably clean (%) - Brooklyn 02,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,94.82445,0.008480036559420026
44,Increase street and sidewalk cleanliness.,70,(Retired) Streets rated acceptably clean (%) - Brooklyn 03,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,84.99578452380953,0.0215060219906257
44,Increase street and sidewalk cleanliness.,71,(Retired) Streets rated acceptably clean (%) - Brooklyn 04,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,88.28758674698796,0.0162557249271149
44,Increase street and sidewalk cleanliness.,72,(Retired) Streets rated acceptably clean (%) - Brooklyn 05,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,87.79170602409638,0.0092208128447702
44,Increase street and sidewalk cleanliness.,73,(Retired) Streets rated acceptably clean (%) - Brooklyn 06,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,93.83642839506172,0.02861908599519298
44,Increase street and sidewalk cleanliness.,74,(Retired) Streets rated acceptably clean (%) - Brooklyn 07,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,92.62516049382715,0.02892002884308149
44,Increase street and sidewalk cleanliness.,75,(Retired) Streets rated acceptably clean (%) - Brooklyn 08,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,86.15658333333333,0.017445894044624505
44,Increase street and sidewalk cleanliness.,76,(Retired) Streets rated acceptably clean (%) - Brooklyn 09,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,87.60903373493976,0.002687204348609823
44,Increase street and sidewalk cleanliness.,77,(Retired) Streets rated acceptably clean (%) - Brooklyn 10,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,96.5768313253012,0.011666713966358811
44,Increase street and sidewalk cleanliness.,78,(Retired) Streets rated acceptably clean (%) - Brooklyn 11,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,93.23689999999999,0.02618769222577578
44,Increase street and sidewalk cleanliness.,79,(Retired) Streets rated acceptably clean (%) - Brooklyn 12,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,82.38220357142856,0.017150290216621206
44,Increase street and sidewalk cleanliness.,80,(Retired) Streets rated acceptably clean (%) - Brooklyn 13,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,92.42276265060241,0.0066738135746965705
44,Increase street and sidewalk cleanliness.,81,(Retired) Streets rated acceptably clean (%) - Brooklyn 14,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,92.36275517241378,0.026103486850846753
44,Increase street and sidewalk cleanliness.,82,(Retired) Streets rated acceptably clean (%) - Brooklyn 15,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,94.57051375,0.029091055254060836
44,Increase street and sidewalk cleanliness.,83,(Retired) Streets rated acceptably clean (%) - Brooklyn 16,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,84.83821447368422,0.008326853508914262
44,Increase street and sidewalk cleanliness.,84,(Retired) Streets rated acceptably clean (%) - Brooklyn 17,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,90.26197317073171,0.011737688481987685
44,Increase street and sidewalk cleanliness.,85,(Retired) Streets rated acceptably clean (%) - Brooklyn 18,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,92.92119259259259,0.0009529745302727268
44,Increase street and sidewalk cleanliness.,86,(Retired) Streets rated acceptably clean (%) - Queens 01,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,93.75380120481927,0.022062605651490437
44,Increase street and sidewalk cleanliness.,87,(Retired) Streets rated acceptably clean (%) - Queens 02,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,93.64527901234568,0.027384497256055334
44,Increase street and sidewalk cleanliness.,88,(Retired) Streets rated acceptably clean (%) - Queens 03,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,92.4647231707317,0.014552627883466689
44,Increase street and sidewalk cleanliness.,89,(Retired) Streets rated acceptably clean (%) - Queens 04,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,93.84948604651163,0.0304595672849397
44,Increase street and sidewalk cleanliness.,90,(Retired) Streets rated acceptably clean (%) - Queens 05,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,95.73933493975903,0.018618390028401058
44,Increase street and sidewalk cleanliness.,91,(Retired) Streets rated acceptably clean (%) - Queens 06,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,98.47468072289156,0.013048445767366808
44,Increase street and sidewalk cleanliness.,92,(Retired) Streets rated acceptably clean (%) - Queens 07,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,98.02178780487806,0.007915643651337982
44,Increase street and sidewalk cleanliness.,93,(Retired) Streets rated acceptably clean (%) - Queens 08,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,97.85984096385542,0.006283914177531145
44,Increase street and sidewalk cleanliness.,94,(Retired) Streets rated acceptably clean (%) - Queens 09,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,94.24931234567902,0.030968922235222244
44,Increase street and sidewalk cleanliness.,95,(Retired) Streets rated acceptably clean (%) - Queens 10,"Percentage of over 6,000 sample blocks rated acceptably clean by Mayor’s Office field inspectors, based on a seven-point picture-based rating scale. Figures show averages based on twice-monthly ratings of the citywide street sample. Source:	Mayor’s Office of Operations.",100.0,94.85014,0.028269165826177785
