task_id,task_type,description,pre_tasks,requirements,affected_factors
15,Type B,Description task 15,"[174, 352, 303, 312, 452]","{""certificates"": [""OSCE""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Excel""}","[(1, 'Product', 5), (2, 'Product', 5), (3, 'Product', 4), (4, 'Product', 1), (5, 'Product', 5), (6, 'Product', 1), (7, 'Product', 5), (8, 'Product', 2), (9, 'Product', 1), (10, 'Product', 3), (11, 'Environment', 5), (12, 'Environment', 4), (13, 'Environment', 5), (14, 'Environment', 4), (15, 'Environment', 3), (16, 'Environment', 4), (17, 'Environment', 2), (18, 'Environment', 3), (19, 'Environment', 1), (20, 'Environment', 5)]"
16,Type A,Description task 16,"[60, 203, 127, 371]","{""certificates"": [""OSCE""], ""majors"": ""CS"", ""type_majors"": ""Outst""}","[(1, 'Product', 2), (2, 'Product', 3), (3, 'Product', 4), (4, 'Product', 1), (5, 'Product', 2), (6, 'Product', 2), (7, 'Product', 2), (8, 'Product', 1), (9, 'Product', 4), (10, 'Product', 5), (11, 'Environment', 2), (12, 'Environment', 4), (13, 'Environment', 5), (14, 'Environment', 2), (15, 'Environment', 1), (16, 'Environment', 4), (17, 'Environment', 4), (18, 'Environment', 2), (19, 'Environment', 5), (20, 'Environment', 4)]"
17,Type C,Description task 17,"[500, 112, 100, 268, 1, 484]","{""certificates"": [""CSPA""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Avg""}","[(1, 'Product', 1), (2, 'Product', 2), (3, 'Product', 1), (4, 'Product', 3), (5, 'Product', 3), (6, 'Product', 3), (7, 'Product', 4), (8, 'Product', 1), (9, 'Product', 4), (10, 'Product', 5), (11, 'Environment', 3), (12, 'Environment', 5), (13, 'Environment', 1), (14, 'Environment', 1), (15, 'Environment', 2), (16, 'Environment', 1), (17, 'Environment', 1), (18, 'Environment', 3), (19, 'Environment', 1), (20, 'Environment', 3)]"
18,Type C,Description task 18,"[235, 163]","{""certificates"": [""CSPA""], ""majors"": ""IT"", ""type_majors"": ""Good""}","[(1, 'Product', 1), (2, 'Product', 2), (3, 'Product', 5), (4, 'Product', 5), (5, 'Product', 4), (6, 'Product', 1), (7, 'Product', 5), (8, 'Product', 4), (9, 'Product', 1), (10, 'Product', 2), (11, 'Environment', 5), (12, 'Environment', 1), (13, 'Environment', 4), (14, 'Environment', 2), (15, 'Environment', 3), (16, 'Environment', 2), (17, 'Environment', 3), (18, 'Environment', 2), (19, 'Environment', 4), (20, 'Environment', 4)]"
19,Type A,Description task 19,"[22, 386, 228, 110]","{""certificates"": [""CHFI""], ""majors"": ""Math"", ""type_majors"": ""Avg""}","[(1, 'Product', 5), (2, 'Product', 2), (3, 'Product', 4), (4, 'Product', 5), (5, 'Product', 4), (6, 'Product', 1), (7, 'Product', 5), (8, 'Product', 4), (9, 'Product', 1), (10, 'Product', 4), (11, 'Environment', 1), (12, 'Environment', 5), (13, 'Environment', 4), (14, 'Environment', 5), (15, 'Environment', 5), (16, 'Environment', 3), (17, 'Environment', 4), (18, 'Environment', 4), (19, 'Environment', 4), (20, 'Environment', 2)]"
20,Type A,Description task 20,"[324, 267]","{""certificates"": [""CEH""], ""majors"": ""Math"", ""type_majors"": ""Avg""}","[(1, 'Product', 2), (2, 'Product', 5), (3, 'Product', 1), (4, 'Product', 1), (5, 'Product', 4), (6, 'Product', 5), (7, 'Product', 5), (8, 'Product', 1), (9, 'Product', 5), (10, 'Product', 4), (11, 'Environment', 3), (12, 'Environment', 5), (13, 'Environment', 2), (14, 'Environment', 2), (15, 'Environment', 2), (16, 'Environment', 1), (17, 'Environment', 5), (18, 'Environment', 1), (19, 'Environment', 3), (20, 'Environment', 4)]"
21,Type B,Description task 21,[115],"{""certificates"": [""CSPA""], ""majors"": ""CS"", ""type_majors"": ""Good""}","[(1, 'Product', 5), (2, 'Product', 3), (3, 'Product', 1), (4, 'Product', 4), (5, 'Product', 2), (6, 'Product', 4), (7, 'Product', 1), (8, 'Product', 2), (9, 'Product', 3), (10, 'Product', 2), (11, 'Environment', 2), (12, 'Environment', 1), (13, 'Environment', 1), (14, 'Environment', 1), (15, 'Environment', 5), (16, 'Environment', 4), (17, 'Environment', 4), (18, 'Environment', 3), (19, 'Environment', 5), (20, 'Environment', 4)]"
22,Type C,Description task 22,"[14, 210, 434, 149]","{""certificates"": [""CHFI""], ""majors"": ""IT"", ""type_majors"": ""Excel""}","[(1, 'Product', 2), (2, 'Product', 5), (3, 'Product', 3), (4, 'Product', 3), (5, 'Product', 2), (6, 'Product', 2), (7, 'Product', 5), (8, 'Product', 4), (9, 'Product', 3), (10, 'Product', 1), (11, 'Environment', 2), (12, 'Environment', 4), (13, 'Environment', 5), (14, 'Environment', 5), (15, 'Environment', 2), (16, 'Environment', 4), (17, 'Environment', 1), (18, 'Environment', 2), (19, 'Environment', 1), (20, 'Environment', 5)]"
23,Type A,Description task 23,"[478, 16]","{""certificates"": [""OSCE""], ""majors"": ""IT"", ""type_majors"": ""Excel""}","[(1, 'Product', 1), (2, 'Product', 2), (3, 'Product', 3), (4, 'Product', 5), (5, 'Product', 3), (6, 'Product', 1), (7, 'Product', 4), (8, 'Product', 5), (9, 'Product', 3), (10, 'Product', 4), (11, 'Environment', 5), (12, 'Environment', 4), (13, 'Environment', 2), (14, 'Environment', 5), (15, 'Environment', 4), (16, 'Environment', 1), (17, 'Environment', 1), (18, 'Environment', 3), (19, 'Environment', 3), (20, 'Environment', 3)]"
24,Type A,Description task 24,"[61, 486, 266]","{""certificates"": [""CSPA""], ""majors"": ""CS"", ""type_majors"": ""Avg""}","[(1, 'Product', 4), (2, 'Product', 1), (3, 'Product', 3), (4, 'Product', 3), (5, 'Product', 2), (6, 'Product', 4), (7, 'Product', 3), (8, 'Product', 2), (9, 'Product', 1), (10, 'Product', 2), (11, 'Environment', 3), (12, 'Environment', 2), (13, 'Environment', 1), (14, 'Environment', 5), (15, 'Environment', 3), (16, 'Environment', 2), (17, 'Environment', 3), (18, 'Environment', 1), (19, 'Environment', 4), (20, 'Environment', 3)]"
25,Type B,Description task 25,"[263, 220, 109, 104]","{""certificates"": [""CSPA""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Avg""}","[(1, 'Product', 5), (2, 'Product', 2), (3, 'Product', 4), (4, 'Product', 2), (5, 'Product', 1), (6, 'Product', 2), (7, 'Product', 2), (8, 'Product', 1), (9, 'Product', 5), (10, 'Product', 1), (11, 'Environment', 1), (12, 'Environment', 5), (13, 'Environment', 3), (14, 'Environment', 3), (15, 'Environment', 2), (16, 'Environment', 4), (17, 'Environment', 3), (18, 'Environment', 5), (19, 'Environment', 1), (20, 'Environment', 5)]"
26,Type A,Description task 26,"[8, 490, 462]","{""certificates"": [""OSCE""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Excel""}","[(1, 'Product', 4), (2, 'Product', 5), (3, 'Product', 5), (4, 'Product', 4), (5, 'Product', 4), (6, 'Product', 1), (7, 'Product', 1), (8, 'Product', 3), (9, 'Product', 1), (10, 'Product', 1), (11, 'Environment', 3), (12, 'Environment', 3), (13, 'Environment', 2), (14, 'Environment', 4), (15, 'Environment', 2), (16, 'Environment', 5), (17, 'Environment', 3), (18, 'Environment', 3), (19, 'Environment', 1), (20, 'Environment', 5)]"
27,Type A,Description task 27,[362],"{""certificates"": [""OSCE""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Good""}","[(1, 'Product', 1), (2, 'Product', 3), (3, 'Product', 4), (4, 'Product', 4), (5, 'Product', 3), (6, 'Product', 5), (7, 'Product', 2), (8, 'Product', 4), (9, 'Product', 2), (10, 'Product', 4), (11, 'Environment', 1), (12, 'Environment', 1), (13, 'Environment', 4), (14, 'Environment', 3), (15, 'Environment', 2), (16, 'Environment', 4), (17, 'Environment', 4), (18, 'Environment', 1), (19, 'Environment', 2), (20, 'Environment', 1)]"
28,Type A,Description task 28,[474],"{""certificates"": [""OSCE""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Outst""}","[(1, 'Product', 2), (2, 'Product', 5), (3, 'Product', 5), (4, 'Product', 3), (5, 'Product', 4), (6, 'Product', 4), (7, 'Product', 2), (8, 'Product', 3), (9, 'Product', 3), (10, 'Product', 5), (11, 'Environment', 5), (12, 'Environment', 3), (13, 'Environment', 3), (14, 'Environment', 3), (15, 'Environment', 2), (16, 'Environment', 5), (17, 'Environment', 4), (18, 'Environment', 4), (19, 'Environment', 2), (20, 'Environment', 2)]"
29,Type A,Description task 29,[3],"{""certificates"": [""CSPA""], ""majors"": ""IT"", ""type_majors"": ""Outst""}","[(1, 'Product', 3), (2, 'Product', 1), (3, 'Product', 2), (4, 'Product', 3), (5, 'Product', 4), (6, 'Product', 2), (7, 'Product', 4), (8, 'Product', 5), (9, 'Product', 1), (10, 'Product', 1), (11, 'Environment', 3), (12, 'Environment', 5), (13, 'Environment', 4), (14, 'Environment', 2), (15, 'Environment', 1), (16, 'Environment', 1), (17, 'Environment', 3), (18, 'Environment', 5), (19, 'Environment', 3), (20, 'Environment', 4)]"
30,Type B,Description task 30,"[495, 478, 90]","{""certificates"": [""CSPA""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Excel""}","[(1, 'Product', 2), (2, 'Product', 1), (3, 'Product', 5), (4, 'Product', 4), (5, 'Product', 3), (6, 'Product', 4), (7, 'Product', 2), (8, 'Product', 5), (9, 'Product', 5), (10, 'Product', 2), (11, 'Environment', 3), (12, 'Environment', 5), (13, 'Environment', 3), (14, 'Environment', 1), (15, 'Environment', 3), (16, 'Environment', 2), (17, 'Environment', 5), (18, 'Environment', 4), (19, 'Environment', 3), (20, 'Environment', 1)]"
31,Type A,Description task 31,"[251, 227, 110, 14, 73]","{""certificates"": [""CSPA""], ""majors"": ""IT"", ""type_majors"": ""Excel""}","[(1, 'Product', 1), (2, 'Product', 1), (3, 'Product', 3), (4, 'Product', 4), (5, 'Product', 2), (6, 'Product', 1), (7, 'Product', 2), (8, 'Product', 3), (9, 'Product', 4), (10, 'Product', 3), (11, 'Environment', 1), (12, 'Environment', 1), (13, 'Environment', 4), (14, 'Environment', 3), (15, 'Environment', 3), (16, 'Environment', 4), (17, 'Environment', 4), (18, 'Environment', 3), (19, 'Environment', 4), (20, 'Environment', 5)]"
32,Type B,Description task 32,[59],"{""certificates"": [""CEH""], ""majors"": ""Math"", ""type_majors"": ""Avg""}","[(1, 'Product', 1), (2, 'Product', 5), (3, 'Product', 5), (4, 'Product', 5), (5, 'Product', 3), (6, 'Product', 4), (7, 'Product', 4), (8, 'Product', 5), (9, 'Product', 1), (10, 'Product', 2), (11, 'Environment', 5), (12, 'Environment', 1), (13, 'Environment', 1), (14, 'Environment', 4), (15, 'Environment', 3), (16, 'Environment', 1), (17, 'Environment', 3), (18, 'Environment', 5), (19, 'Environment', 3), (20, 'Environment', 2)]"
33,Type A,Description task 33,"[390, 39, 296, 476, 227]","{""certificates"": [""OSCP""], ""majors"": ""IT"", ""type_majors"": ""Avg""}","[(1, 'Product', 3), (2, 'Product', 3), (3, 'Product', 2), (4, 'Product', 5), (5, 'Product', 1), (6, 'Product', 1), (7, 'Product', 3), (8, 'Product', 4), (9, 'Product', 1), (10, 'Product', 2), (11, 'Environment', 1), (12, 'Environment', 2), (13, 'Environment', 5), (14, 'Environment', 1), (15, 'Environment', 3), (16, 'Environment', 5), (17, 'Environment', 2), (18, 'Environment', 1), (19, 'Environment', 5), (20, 'Environment', 2)]"
34,Type C,Description task 34,"[261, 125, 20, 154]","{""certificates"": [""CSPA""], ""majors"": ""CS"", ""type_majors"": ""Outst""}","[(1, 'Product', 1), (2, 'Product', 4), (3, 'Product', 5), (4, 'Product', 2), (5, 'Product', 5), (6, 'Product', 2), (7, 'Product', 2), (8, 'Product', 3), (9, 'Product', 5), (10, 'Product', 4), (11, 'Environment', 2), (12, 'Environment', 4), (13, 'Environment', 4), (14, 'Environment', 5), (15, 'Environment', 1), (16, 'Environment', 3), (17, 'Environment', 1), (18, 'Environment', 1), (19, 'Environment', 3), (20, 'Environment', 1)]"
35,Type A,Description task 35,"[42, 424, 342, 121, 136, 200]","{""certificates"": [""CEH""], ""majors"": ""CS"", ""type_majors"": ""Excel""}","[(1, 'Product', 5), (2, 'Product', 5), (3, 'Product', 1), (4, 'Product', 4), (5, 'Product', 5), (6, 'Product', 5), (7, 'Product', 5), (8, 'Product', 1), (9, 'Product', 4), (10, 'Product', 1), (11, 'Environment', 2), (12, 'Environment', 1), (13, 'Environment', 5), (14, 'Environment', 5), (15, 'Environment', 5), (16, 'Environment', 5), (17, 'Environment', 5), (18, 'Environment', 4), (19, 'Environment', 3), (20, 'Environment', 3)]"
36,Type A,Description task 36,"[202, 25, 323, 251, 111]","{""certificates"": [""CSPA""], ""majors"": ""IT"", ""type_majors"": ""Good""}","[(1, 'Product', 1), (2, 'Product', 3), (3, 'Product', 2), (4, 'Product', 2), (5, 'Product', 1), (6, 'Product', 4), (7, 'Product', 5), (8, 'Product', 4), (9, 'Product', 5), (10, 'Product', 3), (11, 'Environment', 5), (12, 'Environment', 4), (13, 'Environment', 2), (14, 'Environment', 4), (15, 'Environment', 4), (16, 'Environment', 1), (17, 'Environment', 1), (18, 'Environment', 2), (19, 'Environment', 4), (20, 'Environment', 2)]"
37,Type B,Description task 37,"[477, 498, 489, 282, 345]","{""certificates"": [""CEH""], ""majors"": ""Math"", ""type_majors"": ""Good""}","[(1, 'Product', 3), (2, 'Product', 2), (3, 'Product', 4), (4, 'Product', 1), (5, 'Product', 1), (6, 'Product', 5), (7, 'Product', 1), (8, 'Product', 5), (9, 'Product', 4), (10, 'Product', 5), (11, 'Environment', 3), (12, 'Environment', 3), (13, 'Environment', 4), (14, 'Environment', 5), (15, 'Environment', 3), (16, 'Environment', 2), (17, 'Environment', 1), (18, 'Environment', 1), (19, 'Environment', 4), (20, 'Environment', 1)]"
38,Type C,Description task 38,"[474, 383, 487, 338, 376, 61]","{""certificates"": [""CEH""], ""majors"": ""DS"", ""type_majors"": ""Excel""}","[(1, 'Product', 5), (2, 'Product', 1), (3, 'Product', 5), (4, 'Product', 2), (5, 'Product', 2), (6, 'Product', 2), (7, 'Product', 5), (8, 'Product', 3), (9, 'Product', 3), (10, 'Product', 5), (11, 'Environment', 2), (12, 'Environment', 5), (13, 'Environment', 5), (14, 'Environment', 2), (15, 'Environment', 3), (16, 'Environment', 4), (17, 'Environment', 2), (18, 'Environment', 2), (19, 'Environment', 5), (20, 'Environment', 2)]"
39,Type B,Description task 39,"[43, 481, 295, 237, 344, 205]","{""certificates"": [""OSCE""], ""majors"": ""Math"", ""type_majors"": ""Good""}","[(1, 'Product', 2), (2, 'Product', 2), (3, 'Product', 5), (4, 'Product', 1), (5, 'Product', 5), (6, 'Product', 3), (7, 'Product', 3), (8, 'Product', 5), (9, 'Product', 5), (10, 'Product', 3), (11, 'Environment', 3), (12, 'Environment', 4), (13, 'Environment', 3), (14, 'Environment', 1), (15, 'Environment', 3), (16, 'Environment', 5), (17, 'Environment', 2), (18, 'Environment', 3), (19, 'Environment', 3), (20, 'Environment', 3)]"
40,Type C,Description task 40,"[71, 387, 395, 103]","{""certificates"": [""CSPA""], ""majors"": ""CS"", ""type_majors"": ""Good""}","[(1, 'Product', 4), (2, 'Product', 3), (3, 'Product', 5), (4, 'Product', 1), (5, 'Product', 2), (6, 'Product', 5), (7, 'Product', 4), (8, 'Product', 5), (9, 'Product', 2), (10, 'Product', 5), (11, 'Environment', 2), (12, 'Environment', 3), (13, 'Environment', 5), (14, 'Environment', 5), (15, 'Environment', 2), (16, 'Environment', 1), (17, 'Environment', 4), (18, 'Environment', 1), (19, 'Environment', 5), (20, 'Environment', 3)]"
41,Type C,Description task 41,"[184, 265, 106]","{""certificates"": [""OSCE""], ""majors"": ""Math"", ""type_majors"": ""Outst""}","[(1, 'Product', 1), (2, 'Product', 3), (3, 'Product', 2), (4, 'Product', 3), (5, 'Product', 4), (6, 'Product', 4), (7, 'Product', 3), (8, 'Product', 1), (9, 'Product', 1), (10, 'Product', 2), (11, 'Environment', 4), (12, 'Environment', 5), (13, 'Environment', 4), (14, 'Environment', 3), (15, 'Environment', 4), (16, 'Environment', 2), (17, 'Environment', 2), (18, 'Environment', 2), (19, 'Environment', 5), (20, 'Environment', 2)]"
42,Type B,Description task 42,"[2, 286, 374]","{""certificates"": [""CISSP""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Avg""}","[(1, 'Product', 3), (2, 'Product', 2), (3, 'Product', 5), (4, 'Product', 1), (5, 'Product', 1), (6, 'Product', 1), (7, 'Product', 1), (8, 'Product', 2), (9, 'Product', 4), (10, 'Product', 2), (11, 'Environment', 4), (12, 'Environment', 4), (13, 'Environment', 3), (14, 'Environment', 4), (15, 'Environment', 4), (16, 'Environment', 3), (17, 'Environment', 5), (18, 'Environment', 5), (19, 'Environment', 2), (20, 'Environment', 5)]"
43,Type C,Description task 43,"[246, 420, 251, 297]","{""certificates"": [""CISSP""], ""majors"": ""Math"", ""type_majors"": ""Avg""}","[(1, 'Product', 5), (2, 'Product', 3), (3, 'Product', 5), (4, 'Product', 1), (5, 'Product', 1), (6, 'Product', 3), (7, 'Product', 2), (8, 'Product', 5), (9, 'Product', 2), (10, 'Product', 4), (11, 'Environment', 3), (12, 'Environment', 3), (13, 'Environment', 5), (14, 'Environment', 5), (15, 'Environment', 4), (16, 'Environment', 5), (17, 'Environment', 1), (18, 'Environment', 4), (19, 'Environment', 5), (20, 'Environment', 5)]"
44,Type B,Description task 44,"[337, 238, 185, 19, 363]","{""certificates"": [""CSPA""], ""majors"": ""DS"", ""type_majors"": ""Outst""}","[(1, 'Product', 3), (2, 'Product', 3), (3, 'Product', 1), (4, 'Product', 5), (5, 'Product', 4), (6, 'Product', 1), (7, 'Product', 5), (8, 'Product', 2), (9, 'Product', 5), (10, 'Product', 1), (11, 'Environment', 4), (12, 'Environment', 4), (13, 'Environment', 5), (14, 'Environment', 2), (15, 'Environment', 2), (16, 'Environment', 4), (17, 'Environment', 5), (18, 'Environment', 3), (19, 'Environment', 1), (20, 'Environment', 3)]"
45,Type B,Description task 45,"[379, 55]","{""certificates"": [""CEH""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Good""}","[(1, 'Product', 5), (2, 'Product', 4), (3, 'Product', 2), (4, 'Product', 4), (5, 'Product', 1), (6, 'Product', 4), (7, 'Product', 5), (8, 'Product', 4), (9, 'Product', 1), (10, 'Product', 2), (11, 'Environment', 2), (12, 'Environment', 1), (13, 'Environment', 5), (14, 'Environment', 4), (15, 'Environment', 4), (16, 'Environment', 2), (17, 'Environment', 5), (18, 'Environment', 4), (19, 'Environment', 4), (20, 'Environment', 4)]"
46,Type A,Description task 46,"[425, 16, 182, 178]","{""certificates"": [""CSPA""], ""majors"": ""DS"", ""type_majors"": ""Avg""}","[(1, 'Product', 4), (2, 'Product', 3), (3, 'Product', 3), (4, 'Product', 3), (5, 'Product', 2), (6, 'Product', 5), (7, 'Product', 3), (8, 'Product', 5), (9, 'Product', 4), (10, 'Product', 3), (11, 'Environment', 5), (12, 'Environment', 2), (13, 'Environment', 5), (14, 'Environment', 3), (15, 'Environment', 4), (16, 'Environment', 3), (17, 'Environment', 1), (18, 'Environment', 2), (19, 'Environment', 1), (20, 'Environment', 1)]"
